"MONTH","PLANET","PX","PY","PZ","VX","VY","VZ"
"*","TITAN","6.975897170425217E+11","-1.325386086759348E+12","-4.419088646763861E+09","1.166265031486606E4","8.223560728738945E3","-2.695021936076836E3"
"*","URANUS","2.362904037646055E+12","1.784958976766510E+12","-2.398232283230853E+10","-4.154748862314906E3","5.116488584763766E3","7.266901238024566E1"
"*","NEPTUNE","4.390890666211944E+12","-8.672121748536059E+11","-8.333403542215383E+10","1.016916266987438E3","5.363832459809669E3","-1.344436168373239E2"
"AUGUST","SUN","-8.279976747778717E+08","1.014406419091713E+09","1.078051851322094E+07","-1.350871823226296E1","-7.541593802104506E0","3.913696971834341E-1"
"*","MERCURY","3.233900062244287E+10","3.464345819127123E+10","-2.836887761113457E+08","-4.432789342785929E4","3.624810262945935E4","7.028079490481047E3"
"*","VENUS","1.043654316877894E+11","-2.607607787432581E+10","-6.431301279434789E+09","8.541505527239146E3","3.37497452869308E4","-3.004053931982496E1"
"*","EARTH","9.459175661624356E+10","-1.170914408545985E+11","1.607462929110229E+07","2.266068788245869E4","1.859998900160076E4","5.89103777292319E-1"
"*","MOON","9.463440238192794E+10","-1.174696197610388E+11","1.125076575510949E+07","2.368873376804516E+04","1.868079531447597E+04","-9.214822313414039E+01"
"*","MARS","1.857622013594548E+11","-8.758600543649276E+10","-6.423172012409922E+09","1.13046406677684E4","2.395095498541035E4","2.247853150243834E2"
"*","JUPITER","3.069580926860479E+11","-7.051839253572189E+11","-3.942342746410161E+09","1.182021562524408E4","5.83686836808451E3","-2.885466008026202E2"
"*","SATURN","7.180489696570112E+11","-1.312500901157469E+12","-5.764792397335112E+09","7.935840103389031E3","4.609818090075419E3","-3.958359747043937E2"
"*","TITAN","7.186156725676674E+11","-1.313460361306028E+12","-5.326634948882103E+09","1.286272902340323E4","6.90187255197616E3","-2.067945652357734E3"
"*","URANUS","2.351732441205141E+12","1.798630250668903E+12","-2.378686105073607E+10","-4.187376854854987E3","5.092045205536703E3","7.325502222496543E1"
"*","NEPTUNE","4.393591405981402E+12","-8.528392363735676E+11","-8.369225972298878E+10","9.989246005583578E2","5.367917402744855E3","-1.330345202377637E2"
"SEPTEMBER","SUN","-8.636875023340638E+08","9.934438785558678E+08","1.182120101628272E+07","-1.314187750009297E1","-8.102653964787912E0","3.858481775894403E-1"
"*","MERCURY","-5.844535141466438E+10","-2.484461695367569E+10","3.182530850404498E+09","9.86841474553194E3","-4.233792500362446E4","-4.365065906092769E3"
"*","VENUS","8.784047859620047E+10","6.296357711891668E+10","-4.256551647479817E+09","-2.017744400265293E4","2.854981528146586E4","1.555893366483062E3"
"*","EARTH","1.398361384564708E+11","-5.374514635944694E+10","1.433199255328625E+07","1.029539004234573E4","2.763205118010904E4","-3.506029437169285E-1"
"*","MOON","1.401581183094263E+11","-5.397297278232309E+10","-1.522217322402820E+07","1.089747075820999E+04","2.842681194818183E+04","-4.847694447773243E+01"
"*","MARS","2.055434537603386E+11","-1.985269984245463E+10","-5.488473980546208E+09","3.35043794309824E3","2.616840218974576E4","4.664108736769469E2"
"*","JUPITER","3.382823945355669E+11","-6.888226273636122E+11","-4.710958125362009E+09","1.156562405812921E4","6.380457915130296E3","-2.852258110286767E2"
